"Marca temporal","¿Cuál es tu edad?","¿Actualmente trabajas fuera o dentro del hogar?","¿Cuántas horas al día, aproximadamente, pasas en tu hogar?","¿Con quién vives actualmente?","¿Tienes hijos/as?","¿Vives actualmente con tus hijos/as en tu casa?","¿Tienes mascotas en tu hogar?","¿Tienes tareas de cuidado a tu cargo además de las tareas del hogar?
(Por ejemplo: cuidado de personas mayores, personas con discapacidad, etc.)","¿A quién/cuántas personas cuidas?","Número de personas a cargo","¿Te interesaría usar una app para organizar y repartir tareas del hogar y cuidados con otras personas con las que convives?","¿Por qué no te interesa o tienes dudas sobre usar una app así?","¿Qué formato preferirías para usar la app?","¿Te gustaría que la app también ayude a organizar las tareas relacionadas con el cuidado de mascotas y otras responsabilidades de cuidado?","¿Cómo organizas hoy las tareas y responsabilidades en tu hogar?","¿Te gustaría recibir sugerencias, recordatorios o ayuda extra para organizar las tareas del hogar y de cuidado?"
"2025/07/18 12:38:21 a.m. GMT-3","21 - 30 años","Sí, trabajo fuera de casa (oficina/empresa)","4 - 8 horas","Con pareja","No","","Sí, perro(s);Sí, gato(s)","No","","","Sí","","Recibir solo 1-2 notificaciones al día con las tareas asignadas","Sí","Hay discusiones o dificultad para repartir tareas","Sí"
"2025/07/18 12:55:03 a.m. GMT-3","21 - 30 años","No, no trabajo actualmente","8 - 12 horas","Con otros familiares","No","","Sí, perro(s)","No","","","Sí","","Ingresar a la app diariamente para actualizar y ver tareas","Sí","Las tareas se reparten según disponibilidad de cada día","Sí"
"2025/07/18 2:11:42 a.m. GMT-3","31 - 40 años","Híbrido, mitad de los días en el hogar y mitad en la empresa ","Más de 12 horas","Con pareja","Sí","Sí, convivo con mis hijos/as","No tengo mascotas","No","","","Sí","","Recibir solo 1-2 notificaciones al día con las tareas asignadas","Sí","Las tareas se reparten según disponibilidad de cada día","Sí"
"2025/07/18 8:26:37 a.m. GMT-3","Más de 50 años","Sí, trabajo fuera de casa (oficina/empresa)","4 - 8 horas","Con pareja;Con hijas/os","Sí","Sí, convivo con mis hijos/as","Sí, perro(s)","No","","","Sí","","Recibir solo 1-2 notificaciones al día con las tareas asignadas","No sé","No hay organización, cada uno hace lo que puede/cuando puede","No sé"
"2025/07/18 10:24:05 a.m. GMT-3","31 - 40 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Solo","No","","Sí, gato(s)","No","","","No sé","No lo estoy considerando","Que la app se sincronice automáticamente con un calendario","Sí","No hay organización, cada uno hace lo que puede/cuando puede","No sé"
"2025/07/18 10:32:20 a.m. GMT-3","31 - 40 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Solo","No","","No tengo mascotas","No","","","No sé","No soy de usar muchas apps","Recibir solo 1-2 notificaciones al día con las tareas asignadas","Sí","Hay discusiones o dificultad para repartir tareas","No sé"
"2025/07/18 10:47:59 a.m. GMT-3","31 - 40 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Con pareja","No","","No tengo mascotas","No","","","No","No solemos tener muchas tareas a organizar y llevamos las tareas de forma independiente, cada uno con la suya.","Ingresar a la app diariamente para actualizar y ver tareas","Sí","Las tareas se reparten según disponibilidad de cada día","No"
"2025/07/18 11:06:17 a.m. GMT-3","31 - 40 años","Sí, trabajo fuera de casa (oficina/empresa)","4 - 8 horas","Con otros familiares","No","","Sí, perro(s);Sí, gato(s)","No","","","Sí","","Recibir solo 1-2 notificaciones al día con las tareas asignadas","Sí","Las tareas se reparten según disponibilidad de cada día","Sí"
"2025/07/18 2:04:17 p.m. GMT-3","31 - 40 años","Sí, trabajo fuera de casa (oficina/empresa)","8 - 12 horas","Con pareja","No","","Sí, gato(s)","No","","","Sí","","Recibir solo 1-2 notificaciones al día con las tareas asignadas","Sí","Las tareas se reparten según disponibilidad de cada día","Sí"
"2025/07/18 2:10:41 p.m. GMT-3","21 - 30 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Solo","No","","Sí, gato(s)","No","","","No","Basta de apps, tengo el celu lleno de apps para cada cosa","Que la app se sincronice automáticamente con un calendario","No","Hago todo","No"
"2025/07/18 2:13:47 p.m. GMT-3","31 - 40 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Con pareja","No","","Sí, perro(s)","No","","","No sé","Porq no la conozco","Que la app se sincronice automáticamente con un calendario","Sí","No hay organización, cada uno hace lo que puede/cuando puede","Sí"
"2025/07/18 2:14:58 p.m. GMT-3","31 - 40 años","Sí, trabajo fuera de casa (oficina/empresa)","Más de 12 horas","Con otros familiares","No","","No tengo, pero me visitan mascotas de vecinos ","No","","","Sí","","Ingresar a la app diariamente para actualizar y ver tareas","Sí","Las tareas se reparten según disponibilidad de cada día","Sí"
"2025/07/18 2:20:11 p.m. GMT-3","31 - 40 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Con pareja","No","","Sí, gato(s)","No","","","Sí","","Ingresar a la app diariamente para actualizar y ver tareas","Sí","Las tareas se reparten según disponibilidad de cada día","No sé"
"2025/07/18 2:24:03 p.m. GMT-3","31 - 40 años","Sí, trabajo desde casa (home office/freelance)","Más de 12 horas","Con pareja","No","","Sí, gato(s)","No","","","Sí","","Ingresar a la app diariamente para actualizar y ver tareas","Sí","No hay organización, cada uno hace lo que puede/cuando puede","Sí"
"2025/07/18 2:25:42 p.m. GMT-3","21 - 30 años","Sí, trabajo fuera de casa (oficina/empresa)","4 - 8 horas","Con pareja","No","","No tengo mascotas","No","","","No","Xq ya estamos organizado","Que la app se sincronice automáticamente con un calendario","No","Cada persona tiene tareas fijas asignadas","No sé"
